"","cp","cpPr","site","Type"
"1",2009.41662597656,0.288083374500275,"NPEV8","WaterLevel"
"2",1996.58337402344,0.242750003933907,"NPEV8","WaterLevel"
"3",2007.25,0.370833307504654,"ENPHC","WaterLevel"
"4",2018.9169921875,0.277833372354507,"TS1","WaterLevel"
"5",2019.75036621094,0.304416716098785,"TS7","WaterLevel"
"6",2009.41662597656,0.662708401679993,"ENPHC","Salinity"
"7",2012.75,0.392208307981491,"ENPHC","Salinity"
"8",2018.83361816406,0.276208370923996,"TS1","Salinity"
"9",2020.25036621094,0.271458357572556,"TS7","Salinity"
